iter	RMSE
0	0.606891855
1	0.6016202252
2	0.5955298132
3	0.5891321863
4	0.5836565682
5	0.5781141185
6	0.5723113244
7	0.5669077317
8	0.5619181567
9	0.5577661199
10	0.5532987983
11	0.5491727658
12	0.5453239183
13	0.5410558364
14	0.5373768077
15	0.5344110648
16	0.53094273
17	0.5276035293
18	0.5248056722
19	0.5207562916
20	0.5176150802
21	0.5144393427
22	0.5111517401
23	0.5083451344
24	0.5058231376
25	0.5029309334
26	0.5005136532
27	0.4986015271
28	0.4964235619
29	0.4936633645
30	0.4912301165
31	0.4893068227
32	0.4867461157
33	0.4847038864
34	0.4824791248
35	0.4801295432
36	0.4779428831
37	0.4762851328
38	0.4743968401
39	0.4723817726
40	0.4705389137
41	0.468988406
42	0.4676789304
43	0.4658855518
44	0.4646797762
45	0.4628689009
46	0.4608391762
47	0.4592660856
48	0.4573230295
49	0.4559524805
50	0.4546951835
51	0.4534980226
52	0.4523643076
53	0.4514795058
54	0.4502955641
55	0.448925133
56	0.4477393981
57	0.4462782249
58	0.4453735658
59	0.4443070684
60	0.4432322579
61	0.4421934095
62	0.440946433
63	0.4398232232
64	0.4388509006
65	0.4380727598
66	0.436946234
67	0.4361017506
68	0.4351467706
69	0.4340396512
70	0.4330399662
71	0.4321910399
72	0.4314061682
73	0.4306756912
74	0.4296176209
75	0.4289329147
76	0.4280345281
77	0.4272802425
78	0.4266689915
79	0.4259673584
80	0.4250976926
81	0.4243632032
82	0.4237337195
83	0.4228490594
84	0.4223377107
85	0.421500126
86	0.4210064333
87	0.4204265663
88	0.41985352
89	0.4192632741
90	0.4186031304
91	0.4179660466
92	0.4173600302
93	0.4168300165
94	0.4163557909
95	0.4156513609
96	0.4151532345
97	0.4142294657
98	0.4136068114
99	0.4129294817
100	0.4123294543
101	0.4118683299
102	0.4116861521
103	0.4109257602
104	0.4102585112
105	0.4095755305
106	0.4089475541
107	0.4083370393
108	0.4076178957
109	0.4068195489
110	0.4065629442
111	0.4059676157
112	0.4051988364
113	0.4047402158
114	0.404248283
115	0.4037633052
116	0.4033137442
117	0.4027000803
118	0.4021462422
119	0.4016140836
120	0.4011713435
